;Harissons AD NGD;Harissons AD AGD
0;4,144848889803178;4,144848889803178
1;14,039316891405097;3,680209989061318
2;23,680969202864187;3,6329748499274
3;9,942330821101487;3,5951902968147342
4;17,30306148362663;3,561604696652368
5;20,571436954041285;3,5311473952660455
6;16,74520776049141;3,5031659214449595
7;10,352371753171871;3,4778414943925857
8;5,345678628984243;3,454677533453255
9;7,620176794100016;3,434086110623186
10;7,499733582217836;3,416766407192486
11;12,962879220843565;3,4673474278398695
12;5,887093391893081;3,414343889092654
13;5,715784473134441;3,3990149236560976
14;7,792325609640345;3,39417121945847
15;4,01350275937306;4,0715942896157555
16;3,992668928284283;3,6158666366617513
17;3,8958228510774493;3,5272670044953918
18;3,9308969908895093;3,4873365578781614
19;3,8875743540042684;3,448997182138131
20;4,107458344413018;3,42909366761623
21;4,147110137911256;3,4087764737726216
22;4,774564433325027;3,3919891760597114
23;4,555369275536325;3,3821637208385145
24;5,415716696468849;3,3706876964708448
25;4,375080470538755;3,357686460666401
26;4,928693066180276;3,3245080549455874
27;4,220092589844603;3,3052038761815323
28;4,698192288521378;3,2868071898092213
29;4,157196990470005;3,271063647333398
30;4,627609765988976;3,2559111584261835
31;4,123496112853031;3,2422782051866297
32;4,587817943236237;3,229386700371524
33;4,0936129811641475;3,2173172794319163
34;4,543254906967738;3,2058996211019446
35;4,063343011059135;3,1950253018342374
36;4,494333620343299;3,184219118241024
37;4,034786508642229;3,173768383967494
38;4,447662225109867;3,1635306126100478
39;4,0094446795345595;3,152572352405186
40;4,4063421468848585;3,1382508955515407
41;3,987508420344185;3,126712734287427
42;4,3706839412533;3,1174498219246214
43;3,968601250509013;3,109100696849031
44;4,3400443180843595;3,1013074044443165
45;3,952253559195368;3,0939434124933527
46;4,3136623285356706;3,0868818484752656
47;3,938052054548684;3,080050664511068
48;4,290871594202044;3,073390954037118
49;3,9256557473305547;3,0670070826149485
50;4,271112425830741;3,0607606253919837
51;3,9147821162480962;3,0547347194030996
52;4,253911512898122;3,048873101349662
53;3,9051944577552344;3,043173217680849
54;4,238867113401628;3,0375649292404714
55;3,8966939335087396;3,0319738794630346
56;4,225640097330596;3,026544492336491
57;3,889114130693369;3,0211868689182584
58;4,213946732197733;3,0159116324567563
59;3,882316477480759;3,0107228527238603
60;4,203551405899973;3,0056156649316694
61;3,8761859769138063;3,0005673212891053
62;4,194259268580333;2,995574835946953
63;3,870627268814128;2,9906626684692887
64;4,18590927676044;2,9857716380449486
65;3,8655611500415143;2,980885826223166
66;4,17836806084004;2,9760625213805847
67;3,860921621527738;2,9712678813674542
68;4,171524761405265;2,966539037231674
69;3,856653454007824;2,9617981130507336
70;4,165286810223261;2,9570581865236902
71;3,8527102158196955;2,9523625835732243
72;4,159576537419666;2,9476644538348
73;3,8490526846439685;2,942995154644147
74;4,154328453029752;2,9383515812802767
75;3,8456475701347292;2,933658493304481
76;4,149487070359106;2,9290222160823136
77;3,842466485183411;2,924362536863703
78;4,145005157616703;2,919700084067742
79;3,83948511385403;2,915007895942515
80;4,140842324701744;2,910294066066245
81;3,83668253294792;2,9055695612380243
82;4,136963878520019;2,900775542563857
83;3,834040660709702;2,8959402389354443
84;4,1333398881337775;2,891103094562715
85;3,831543803556735;2,8862075135440843
86;4,129944423184195;2,8812657051335675
87;3,829178284683203;2,876282649943841
88;4,1267549258969005;2,8712291805766412
89;3,826932136164765;2,866111877537365
90;4,123751695327493;2,860901343957577
