;x D1;x Harissons D1 NGD;x Harissons D1 AGD;y D1;y Harissons D1 NGD;y Harissons D1 AGD
2,22;;4,962720872112936;4,832542836668821;;0,6556397153117537;0,6002413840606982
2,23;;5,004262673187925;4,868536066596132;;0,6531648507551798;0,5974348251530812
2,2399999999999998;;5,046066190635322;4,904731131556032;;0,6507123951461616;0,5946581280639874
2,25;5,281;5,088131001896105;4,941128176070014;0,333333333;0,6482820020100363;0,5919111142765153
2,26;;5,130456640207684;4,977727328905816;;0,6458733286721978;0,5891936065242335
2,27;;5,173042594172744;5,01452870288244;;0,6434860362734145;0,5865054287763215
2,2800000000000002;;5,215888307340074;5,051532394676024;;0,6411197897839876;0,5838464062227058
2,29;;5,258993177797819;5,08873848462674;;0,6387742580167362;0,5812163652591854
2,3;;5,30235655777954;5,126147036546702;;0,6364491136387955;0,5786151334725461
2,31;;5,3459777532834725;5,163758097529012;;0,6341440331822185;0,5760425396256623
2,32;;5,389856023705375;5,201571697757988;;0,6318586970533688;0,5734984136425857
2,33;;5,433990581485393;5,239587850320691;;0,6295927895410971;0,5709825865936152
2,34;;5,47838059176924;5,277806551019778;;0,6273459988236902;0,5684948906803515
2,35;;5,523025172084183;5,316227778187807;;0,6251180169745886;0,5660351592207303
2,36;;5,567923392030084;5,3548514925030295;;0,622908539966864;0,5636032266340363
2,37;;5,61307427298599;5,393677636806804;;0,6207172676764522;0,5611989284258916
2,3800000000000003;;5,658476787832515;5,432706135922637;;0,6185439038841388;0,5588221011732218
2,39;;5,704129860690453;5,471936896477015;;0,6163881562762942;0,5564725825091947
2,4;;5,750032366675945;5,51136980672205;;0,6142497364443553;0,5541502111081308
2,41;;5,7961831316725085;5,551004736360041;;0,6121283598830586;0,5518548266703843
2,42;;5,842580932120314;5,590841536370034;;0,6100237459874195;0,549586269907193
2,4299999999999997;;5,889224494823001;5,6308800388364695;;0,6079356180484661;0,5473443825254942
2,44;;5,936112496772365;5,671120056779997;;0,6058637032477274;0,5451290072127063
2,45;;5,983243564991208;5,71156138399052;;0,6038077326504849;0,5429399876214743
2,46;;6,030616276394682;5,752203794862608;;0,6017674411977897;0,540777168354376
2,4699999999999998;;6,078229157670384;5,793047044233305;;0,5997425676972572;0,5386403949485886
2,48;;6,1260806851775165;5,8340908672224545;;0,597732854812646;0,5365295138605152
2,4899999999999998;;6,1741692848653384;5,875334979075604;;0,5957380490522334;0,5344443724503655
2,5;;6,22249333221124;5,916779075009613;;0,5937579007559957;0,532384818966694
2,5100000000000002;;6,271051152178616;5,958422830060992;;0,5917921640816125;0,5303507025308903
2,52;;6,319841019194827;6,000265898937118;;0,589840596989303;0,5283418731216223
2,53;;6,36886115714948;6,042307915870387;;0,5879029612255129;0,5263581815592278
2,54;;6,418109739413211;6,084548494475371;;0,5859790223054693;0,5243994794900568
2,55;;6,467584888877198;6,126987227609095;;0,584068549494621;0,5224656193707605
2,56;;6,517284678013635;6,169623687234532;;0,5821713157889802;0,5205564544525242
2,5700000000000003;;6,567207128957261;6,212457424287348;;0,5802870978943924;0,5186718387652451
2,58;;6,617350213608224;6,2554879685460465;;0,5784156762047479;0,5168116271016535
2,59;;6,667711853756346;6,298714828505551;;0,5765568347791642;0,5149756750013728
2,6;;6,718289921226993;6,342137491254346;;0,5747103613181578;0,5131638387349198
2,6100000000000003;;6,7690822380486475;6,385755422355236;;0,5728760471388318;0,5113759752876431
2,62;;6,820086576642328;6,429568065729828;;0,5710536871491045;0,5096119423435972
2,63;;6,871300660032943;6,4735748435468095;;0,5692430798210042;0,5078715982693515
2,64;;6,9227221620826755;6,517775156114111;;0,5674440271630568;0,5061548020977327
2,65;;6,974348707746479;6,562168381775045;;0,565656334691795;0,5044614135114998
2,6599999999999997;;7,0261778733497415;6,6067538768084875;;0,563879811402417;0,5027912928269489
2,67;;7,078207186888183;6,6515309753332135;;0,562114269738622;0,5011443009774476
2,68;;7,130434128349967;6,696498989216422;;0,5603595255616545;0,49952029949689775
2,69;;7,18285613006014;6,741657207986596;;0,5586153981185855;0,49791915050312396
2,7;;7,2354705770472965;6,787004898750725;;0,5568817100098624;0,49634071668118807
2,71;;7,2882748074325345;6,832541306115991;;0,5551582871561576;0,4947848612666277
2,7199999999999998;;7,3412661128406285;6,878265652115999;;0,553444958764548;0,49325144802861753
2,73;;7,394441738833426;6,924177136141642;;0,5517415572940562;0,4917403412530522
2,74;;7,447798885365314;6,97027493487662;;0,5500479184205864;0,4902514057255509
2,75;7,063;7,501334707260823;7,016558202237794;0,833333333;0,5483638810012857;0,4887845067143798
2,76;;7,555046314714142;7,063026069320343;;0,5466892870383646;0,4873395099532941
2,77;;7,6089307738105125;7,109677644347863;;0,5450239816424082;0,4859162816242975
2,78;;7,662985107069362;7,15651201262746;;0,5433678129952102;0,4845146883403178
2,79;;7,717206294009032;7,203528236509913;;0,5417206323121635;0,4831345971277984
2,8000000000000003;;7,771591271732952;7,250725355354971;;0,540082293804238;0,48177587540920425
2,81;;7,826136935537075;7,298102385501863;;0,5384526546395797;0,480438390985442
2,82;;7,880840139538409;7,345658320245079;;0,536831574904761;0,47912201201819327
2,83;;7,935697697324413;7,393392129815488;;0,5352189175657163;0,47782660701216
2,8400000000000003;;7,990706382623049;7,441302761366874;;0,5336145484283933;0,4765520447972219
2,85;;8,045862929993262;7,4893891389679235;;0,5320183360991514;0,47529819451050503
2,86;;8,10116403553561;7,537650163599752;;0,530430151944938;0,474064925578361
2,87;;8,156606357622799;7,586084713159013;;0,5288498700532747;0,472852107698256
2,88;;8,21218651764981;7,634691642466658;;0,5272773671920811;0,47165961082056995
2,8899999999999997;;8,26790110080334;7,683469783282381;;0,5257125227693691;0,470487305130305
2,9000000000000004;;8,323746656850236;7,732417944324853;;0,5241552187928328;0,4693350610287025
