;x D1;x Harissons AD NGD;x Harissons D1 AGD;y D1;y Harissons AD NGD;y Harissons D1 AGD
2,77;;6,021117711833473;5,654413744723829;;0,9332165758984143;0,803932871506203
2,78;;6,042065163844724;5,670971127641376;;0,9288682742779407;0,8012692915787386
2,79;;6,062901369241282;5,687425829104252;;0,9245370830230343;0,7986122824142797
2,8000000000000003;;6,083625637322369;5,703777618269764;;0,9202229727688589;0,7959617704613573
2,81;;6,104237301813766;5,720026282056172;;0,9159259136592056;0,7933176834430481
2,82;;6,124735720786764;5,736171624973881;;0,9116458753559982;0,7906799503471871
2,83;;6,145120276567908;5,7522134689523705;;0,9073828270486745;0,7880485014165275
2,8400000000000003;;6,165390375639772;5,768151653163043;;0,9031367374634446;0,7854232681388497
2,85;;6,185545448532924;5,7839860338381515;;0,8989075748724276;0,7828041832370196
2,86;;6,205584949709296;5,7997164840859705;;0,8946953071026684;0,780191180658999
2,87;;6,225508357437163;5,815342893702383;;0,8904999015450357;0,7775841955678081
2,88;;6,245315173657934;5,830865168979046;;0,8863213251630021;0,7749831643314433
2,8899999999999997;;6,265004923844957;5,846283232508288;;0,88215954450131;0,7723880245127502
2,9000000000000004;;6,284577156854563;5,8615970229849275;;0,8780145256945197;0,7697987148592532
2,91;;6,304031444769527;5,876806495005131;;0,8738862344754501;0,7672151752929468
2,92;;6,323367382735235;5,891911618862533;;0,8697746361834997;0,7646373469000435
2,93;;6,342584588788665;5,906912380341704;;0,8656796957728636;0,762065171920687
2,94;;6,361682703680502;5,921808780509187;;0,8616013778206384;0,7594985937386282
2,9499999999999997;;6,3806613906905385;5,936600835502217;;0,8575396465348194;0,756937556870866
2,96;;6,399520335436614;5,95128857631531;;0,8534944657621903;0,7543820069572561
2,97;;6,418259245677294;5,965872048584828;;0,8494657989961107;0,7518318907500892
2,98;;6,436877851108527;5,9803513123717265;;0,8454536093841947;0,7492871561036376
2,9899999999999998;;6,455375903154485;5,994726441942592;;0,84145785973589;0,7467477519636773
3,0;;6,47375317475282;6,0089975255491295;;0,8374785125299538;0,7442136283569808
