;x D4;x EP D4 NGD;x EP D4 AGD;y D4;y EP D4 NGD;y EP D4 AGD
6,15;;15,830705629874366;15,830705629831861;;0,02971549804917518;0,029715498392157987
6,16;;15,891480269139217;15,891480269096478;;0,02946887269619504;0,029468873036884315
6,17;;15,952488224395417;15,952488224352443;;0,029224294223419694;0,029224294561829886
6,18;;16,013730391351306;16,0137303913081;;0,028981745642658267;0,02898174597880374
6,1899999999999995;;16,075207669153905;16,075207669110466;;0,028741210106714293;0,028741210440609295
6,2;;16,13692096040208;16,1369209603584;;0,0285026709082154;0,02850267123987417
6,21;;16,19887117115978;16,19887117111586;;0,028266111478453107;0,028266111807889755
6,22;;16,261059210969396;16,26105921092524;;0,028031515386231692;0,028031515713460263
6,23;;16,32348599286509;16,3234859928207;;0,02779886633672705;0,027798866661761477
6,239999999999999;;16,386152433386165;16,38615243334153;;0,02756814817035485;0,027568148493209037
6,25;6,938;16,449059452590582;16,4490594525457;0,0;0,027339344861647998;0,027339345182335748
