;x D2;x EP AD NGD;x EP D2 AGD;y D2;y EP AD NGD;y EP D2 AGD
3,2300000000000004;;6,117290219220228;6,117290220878441;;0,35696481008938385;0,356967173154185
3,2399999999999998;;6,143969884123221;6,1439698857938225;;0,35482019644902835;0,35482255258880135
3,25;8,719;6,170765908475225;6,17076591015829;1,333333333;0,3526884674615471;0,35269081667420715
3,26;;6,197678799760922;6,19767880145653;;0,3505695457170626;0,3505718880008001
3,27;;6,224709067678322;6,22470906938655;;0,34846335427076885;0,3484656896240456
3,2800000000000002;;6,251857224148406;6,251857225869329;;0,3463698166401377;0,34637214506168446
3,29;;6,279123783324815;6,279123785058514;;0,3442888568021416;0,3442911782909542
3,3000000000000003;;6,30650926160361;6,306509263350161;;0,3422203991904922;0,3422227137458289
3,3099999999999996;;6,334014177633023;6,334014179392508;;0,34016436869289757;0,3401666763142758
3,32;;6,361639052323307;6,361639054095805;;0,33812069064833317;0,3381229913355263
3,3300000000000005;;6,389384408856586;6,389384410642176;;0,3360892908443318;0,33609158459736643
3,34;;6,417250772696754;6,417250774495518;;0,33407009551428885;0,3340723823334412
3,35;;6,4452386715994585;6,445238673411476;;0,3320630313347819;0,33206531122057564
3,36;;6,473348635622061;6,473348637447413;;0,3300680254229104;0,33007029837611274
3,37;;6,501581197133696;6,501581198972465;;0,32808500533364715;0,3280872713552666
3,38;;6,529936890825345;6,529936892677614;;0,3261138990572092;0,3261161581484922
3,39;;6,558416253719971;6,558416255585824;;0,3241546350164412;0,3241568871788697
3,4000000000000004;;6,587019825182683;6,5870198270622;;0,32220714206421786;0,3222093872995058
3,4099999999999997;;6,615748146930942;6,61574814882421;;0,3202713494808598;0,3202735877909507
3,42;;6,644601763044847;6,644601764951949;;0,3183471869715642;0,3183494183586285
3,4299999999999997;;6,673581219977409;6,673581221898429;;0,31643458466385466;0,3164368091302865
3,44;;6,702687066564923;6,7026870684999444;;0,31453347310504165;0,31453569065345627
3,45;;6,7319198540373435;6,731919855986456;;0,3126437832597019;0,312645993892933
3,46;;6,761280136028742;6,7612801379920295;;0,31076544650717086;0,3107676502282678
3,47;;6,790768468587782;6,79076847056533;;0,3088983946390507;0,3089005914512757
3,4799999999999995;;6,820385410188244;6,8203854121801415;;0,30704255985673445;0,30704474976356
3,49;;6,850131521739629;6,85013152374596;;0,305197874768942;0,30520005777404835
3,5000000000000004;;6,880007366597738;6,880007368618594;;0,30336427238927555;0,3033664484965482
3,51;;6,91001351057538;6,91001351261085;;0,30154168613378546;0,30154385534731165
3,52;;6,940150521953078;6,940150524003251;;0,29973004981855184;0,2997322121426195
3,53;;6,970418971489816;6,970418973554779;;0,2979292976572831;0,297931453096377
3,54;;7,000819432433865;7,00081943451371;;0,29613936425892534;0,29614151281772505
3,55;;7,031352480533636;7,031352482628451;;0,2943601846252889;0,2943623263086663
3,56;;7,0620186940485805;7,062018696158457;;0,29259169414868713;0,29259382896170405
3,5700000000000003;;7,092818653760139;7,092818655885172;;0,2908338286095911;0,29083595655749667
3,58;;7,123752942982753;7,123752945123032;;0,2890865241742973;0,2890886452625254
3,5900000000000003;;7,154822147574901;7,15482214973052;;0,2873497173926093;0,28735183162677636
3,5999999999999996;;7,186026855950196;7,186026858121247;;0,2856233451955343;0,28562545258143696
3,61;;7,217367659088536;7,217367661275113;;0,2839073448929918;0,28390944543660446
3,62;;7,248845150547286;7,248845152749482;;0,2822016541715388;0,28220374787901126
3,63;;7,280459926472522;7,280459928690434;;0,2805062110921057;0,2805082979697607
3,64;;7,312212585610334;7,312212587844056;;0,27882095408774715;0,27882303414207826
3,65;;7,344103729318146;7,344103731567771;;0,27714582196140725;0,2771478951990766
3,66;;7,376133961576118;7,376133963841745;;0,27548075388369614;0,27548282031153204
3,6700000000000004;;7,408303888998581;7,408303891280305;;0,273825689390682;0,27382774901567697
3,6799999999999997;;7,4406141208455185;7,44061412314344;;0,2721805683816953;0,2721826212110031
3,6900000000000004;;7,473065269034131;7,473065271348345;;0,2705453311171452;0,27054737715807986
3,6999999999999997;;7,505657948150381;7,5056579504809875;;0,26891991821635247;0,2689219574763849
3,71;;7,53839277546068;7,538392777807777;;0,26730427065539053;0,2673063031421472
