;x D2;x EP D2 NGD;x EP D2 AGD;y D2;y EP D2 NGD;y EP D2 AGD
0,0;1,5;1,5;1,5;2,5;2,5;2,5
0,01;;1,5041499039994524;1,5041499261685884;;2,493911633365504;2,4939117821412724
0,02;;1,5083112891343746;1,5083113335953136;;2,4878380940143185;2,4878383908412234
0,03;;1,5124841871685064;1,5124842540444243;;2,481779345836869;2,4817797899929244
0,04;;1,516668629953466;1,5166687193680488;;2,4757353528115194;2,475735943577379
0,05;;1,5208646494289912;1,5208647615064388;;2,4697060790043595;2,4697068156633066
0,06;;1,5250722776231855;1,5250724124882122;;2,4636914885689905;2,4636923704069296
0,06999999999999999;;1,5292915466527601;1,5292917044305971;;2,4576915457463127;2,457692572051761
0,08;;1,5335224887232823;1,5335226695396784;;2,4517062148643105;2,45170738492839
0,09;;1,5377651361294178;1,5377653401106426;;2,4457354603378443;2,445736773454272
0,1;;1,542019521255179;1,542019748528025;;2,4397792466684347;2,4397807021335156
0,11;;1,5462856765741728;1,5462859272659562;;2,433837538444054;2,433839135556673
0,12;;1,5505636346498468;1,5505639088884104;;2,4279103003389153;2,4279120384005264
0,13;;1,5548534281357393;1,5548537260494535;;2,4219974971132623;2,4219993754278826
0,13999999999999999;;1,559155089775728;1,5591554114934938;;2,4160990936131594;2,41610111148736
0,15;;1,5634686524042791;1,5634689980555294;;2,4102150547702834;2,4102172115131806
0,16;;1,5677941489466996;1,5677945186614008;;2,4043453456017145;2,404347640524962
0,16999999999999998;;1,5721316124193878;1,5721320063280426;;2,3984899312097276;2,3984923636275086
0,18;;1,5764810759300845;1,5764814941637335;;2,392648776781587;2,3926513460106054
0,19;;1,5808425726781266;1,5808430153683508;;2,3868218475893372;2,3868245529488092
0,2;;1,585216135954701;1,5852166032336226;;2,3810091089895975;2,3810119498012443
0,21;;1,5896017991430975;1,5896022911433825;;2,3752105264233565;2,375213502011395
0,22;;1,5939995957189645;1,5940001125738257;;2,3694260654157646;2,3694291751069008
0,22999999999999998;;1,5984095592505643;1,5984101010937608;;2,3636556915759317;2,3636589346993504
0,24;;1,602831723399029;1,602832290364871;;2,3578993705967206;2,3579027464840796
0,25;1,167;1,6072661219186175;1,607266714141967;1,666666667;2,3521570682545447;2,352160576239965
0,26;;1,6117127886569738;1,6117134062732466;;2,3464287504091628;2,3464323898292214
0,27;;1,6161717575553847;1,616172400700552;;2,3407143830034776;2,3407181531971997
0,27999999999999997;;1,6206430626490387;1,6206437314596305;;2,3350139320633327;2,3350178323721824
0,29;;1,6251267380672867;1,6251274326803928;;2,3293273636973097;2,3293313934651843
0,3;;1,6296228180339019;1,6296235385871738;;2,3236546440965284;2,323658802669749
0,31;;1,6341313368673402;1,634132083498994;;2,317995739534445;2,3180000262617475
0,32;;1,6386523289810044;1,6386531018298227;;2,3123506163666505;2,3123550305991807
0,33;;1,6431858288835046;1,6431866280888374;;2,306719241030674;2,306723782121976
0,33999999999999997;;1,6477318711789226;1,6477326968806913;;2,3011015800457773;2,301106247351789
0,35000000000000003;;1,6522904905670766;1,652291342905774;;2,2954976000127627;2,2955023928918066
0,36;;1,6568617218437844;1,6568626009604788;;2,2899072676137697;2,2899121854265445
0,37;;1,6614455999011302;1,6614465059374666;;2,284330549612078;2,284335591721652
0,38;;1,666042159727732;1,6660430928259329;;2,2787674128519106;2,2787725786237134
0,38999999999999996;;1,6706514364090057;1,6706523967118763;;2,273217824258237;2,2732231130600513
0,4;;1,675273465127435;1,6752744527783625;;2,2676817508365747;2,2676871620385297
0,41000000000000003;;1,679908281162841;1,679909296305798;;2,2621591596727955;2,262164692647358
0,42;;1,6845559198926483;1,6845569626721941;;2,256650017932927;2,2566556720548943
0,43;;1,6892164167921575;1,6892174873534418;;2,25115429286296;2,2511600675094536
0,44;;1,693889807434815;1,6938909059235787;;2,2456719517886525;2,2456778463391074
0,44999999999999996;;1,6985761274924853;1,698577254055063;;2,240202962115335;2,240208975951495
0,45999999999999996;;1,7032754127357224;1,7032765675190447;;2,2347472913277184;2,2347534238336273
0,47000000000000003;;1,7079876990340428;1,7079888821856386;;2,2293049069896984;2,229311157551693
0,48;;1,7127130223562008;1,7127142340241988;;2,223875776744165;2,2238821447508665
0,49;;1,717451418770461;1,717452659103593;;2,218459868312808;2,2184663531551156
0,5;;1,722202924444875;1,7222041935924772;;2,213057149495926;2,2130637505670094
0,51;;1,7269675756475567;1,7269688737595719;;2,207667588172237;2,207674304867528
0,52;;1,7317454087469595;1,7317467359739402;;2,2022911522986823;2,2022979840158685
0,53;;1,7365364602121542;1,7365378167052645;;2,196927809910242;2,1969347560492585
0,54;;1,7413407666131073;1,7413421525241235;;2,1915775291197406;2,1915845890827637
0,5499999999999999;;1,7461583646209586;1,7461597801022746;;2,1862402781176593;2,1862474513090975
