;0_a;0_b;1_a;1_b
0;-1;-1;-1;-1
1;-0,36215975063191774;-0,8459145127043257;-0,2665111356130244;1,2014054162098509
2;0,4115090327848633;-0,7183949916319534;0,5625204757998726;-0,5634983012841104
3;0,4361582771469371;-0,6436213558093087;0,4352775741102651;-0,6012159167482392
4;0,435146959422262;-0,6143823810177409;0,4351870328161882;-0,6026012957441343
5;0,4351886857690842;-0,6056989610266896;0,435187032732595;-0,6026033452101647
6;0,43518696454325567;-0,6033952492124897;0,43518703273174203;-0,602603345237524
7;0,4351870355451267;-0,6028044722162775;0,435187032732595;-0,6026033452351449
8;0,4351870326159143;-0,6026543328504488;0,43518703273174203;-0,6026033452363344
9;0,43518703273670656;-0,6026162650055724;0,435187032732595;-0,6026033452375239
10;0,4351870327313775;-0,6026066185903503;0,435187032732595;-0,6026033452375239
11;0,43518703273315384;-0,6026041745489366;0,435187032732595;-0,6026033452375239
12;0,43518703273315384;-0,6026035553420286;0,435187032732595;-0,6026033452375239
13;0,4351870327313775;-0,602603398466627;0,435187032732595;-0,6026033452375239
14;0,43518703273226567;-0,6026033587224191;0,435187032732595;-0,6026033452375239
15;0,43518703273226567;-0,6026033486531404;0,435187032732595;-0,6026033452375239
16;0,43518703273226567;-0,6026033461022919;0,435187032732595;-0,6026033452375239
17;0,4351870327304893;-0,6026033454565862;0,435187032732595;-0,6026033452375239
18;0,4351870327313775;-0,6026033452922732;0,435187032732595;-0,6026033452375239
19;0,4351870327313775;-0,6026033452505288;0,435187032732595;-0,6026033452375239
20;0,43518703273315384;-0,6026033452398707;0,435187032732595;-0,6026033452375239
21;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
22;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
23;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
24;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
25;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
26;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
27;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
28;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
29;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
30;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
31;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
32;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
33;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
34;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
35;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
36;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
37;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
38;0,4351870327313775;-0,602603345236318;0,435187032732595;-0,6026033452375239
39;0,43518703273226567;-0,602603345236318;0,435187032732595;-0,6026033452375239
