;0_1_a;0_1_b;0_2_a;0_2_b;1_1_a;1_1_b;1_2_a;1_2_b;2_1_a;2_1_b;2_2_a;2_2_b;3_1_a;3_1_b;3_2_a;3_2_b
0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;-0,845027977389833;-0,9539733748292747;-0,39680616327162754;0,630464301643636;-0,8349092951670514;-0,9307080557997551;-0,12106741105018548;-0,014772969832898886;-0,8599729625468058;-0,9829604535221961;-0,3248003031144002;-0,776319316674595;-0,8222495155140166;-0,9782726285459944;-0,18260408563063835;-0,7647984241981386
2;-0,6481682118734113;-0,906841876654795;1,9465559343249508;-0,43040313357519966;-0,6432698647943482;-0,8568361583544117;0,28786351639784336;-0,23898715147480196;-0,6904379434532473;-0,9672790011082668;0,7117714866892135;-0,8399660093887787;-0,6109664303709508;-0,9586550881858216;0,41585858003249365;-0,8284521677560177
3;-0,4070213144929937;-0,8590922895758126;0,6523173349213369;-0,451935168476226;-0,44431395872790347;-0,779228347733806;0,2762797403787971;-0,24382572782938577;-0,4921093830910763;-0,9529564086042654;0,4299250920064278;-0,8461613957275791;-0,39032766893554083;-0,941122735732435;0,38317522279126653;-0,8333859404640883
4;-0,16074651020636568;-0,811433925232862;0,6519291766630112;-0,4522468529216583;-0,26949171660339744;-0,699951619906102;0,27627826651344306;-0,24383169336284793;-0,2886625958306013;-0,9399693867889738;0,42958139562037334;-0,8462245326778858;-0,19940975322241172;-0,9256023319453845;0,3831685106130495;-0,8334186098095028
5;0,044010150922147745;-0,7647855001456918;0,6519291759677499;-0,452246925410176;-0,1314649493903133;-0,6223954677843082;0,2762782665140831;-0,24383169338811522;-0,11298345437060675;-0,9282735091421515;0,42958139423030123;-0,846224540275076;-0,05069407529722983;-0,9119819073678528;0,3831685106130495;-0,8334186116861733
6;0,20051383713359877;-0,7201929443804147;0,6519291759679628;-0,4522469254112117;-0,026799609098681315;-0,5505022680211127;0,2762782665145098;-0,2438316933878876;0,024572756846531235;-0,9178070317498168;0,42958139423030123;-0,8462245402758286;0,06128722797294013;-0,9001218925931411;0,3831685106134757;-0,8334186116848613
7;0,3175129975158128;-0,6786798169661203;0,6519291759681758;-0,452246925410176;0,05147853762277417;-0,48738257111768846;0,2762782665140831;-0,24383169338834287;0,1285956806226238;-0,90849514414748;0,4295813942298743;-0,8462245402758286;0,14472764377460118;-0,8898660216180012;0,3831685106134757;-0,8334186116855172
8;0,4044182260284365;-0,641075472085916;0,6519291759681758;-0,45224692541043493;0,10971066217491193;-0,4344288462697623;0,2762782665145098;-0,24383169338811525;0,20632762442096636;-0,9002542254820103;0,42958139423072816;-0,846224540275076;0,2066636033183364;-0,8810509501436794;0,3831685106134757;-0,8334186116855172
9;0,46881990816782876;-0,6078896288542737;0,6519291759681758;-0,45224692541069383;0,15292701353331134;-0,39145844734533775;0,2762782665142965;-0,24383169338788763;0,2641408703431;-0,8929957767930254;0,42958139423030123;-0,846224540275076;0,2525608860074477;-0,8735140176666647;0,3831685106134757;-0,8334186116855172
