;CLV AD NGD;CLV AD AGD
0;28,585627654996674;28,585627654996674
1;27,499465873799245;18,9823542987371
2;26,532886232354123;8,598641439439007
3;25,66294077543968;6,421009416356536
4;24,869889475513876;5,704496400595623
5;24,1367761043877;5,062902661977036
6;23,44901986721252;4,602576276427309
7;22,79403475326223;4,477924180911355
8;22,1608854834965;4,390876909701202
9;21,539987304706983;4,319610607820902
10;20,922856707956214;4,259389309791906
11;20,301921689931298;4,208044328624304
12;19,67040373370992;4,1639761084552935
13;19,022289427612492;4,125977354442226
14;18,352417232017206;4,092934577998559
15;17,656712769310193;4,064090932406574
16;16,932610006472558;4,03866834411558
17;16,179687045998776;4,016202995115964
18;15,400508567871748;3,996247273398047
19;14,60158136040586;3,978339277751666
20;13,794179392293593;3,962153726369836
21;12,994601341002213;3,9474612386717114
22;12,22329293255116;3,9339987441509043
23;11,50241275958528;3,9215765437894694
24;10,852043048119397;3,9100668525458944
25;10,28620017324048;3,899314616430561
26;9,810360314532396;3,8892117635518484
27;9,421607722778734;3,879666691810327
28;9,111007540316873;3,8706202177590328
29;8,866725679683958;3,8619802307030855
30;8,676570327634797;3,8537188869567385
31;8,529472388770092;3,8457610705008043
32;8,416073668083616;3,83807947978707
33;8,328783725692736;3,8306250302983216
34;8,261594730177714;3,823393761497042
35;8,209820973561019;3,8163386932126357
36;8,169840989450567;3,8094625621355096
37;8,138871869481044;3,802718049255062
38;8,11478289500765;3,796120543420156
39;8,095946395488383;3,7896554745546296
40;8,08112061141306;3,783299762658384
41;8,069358786835794;3,777047752040406
42;8,059939176608607;3,7708994635362636
43;8,052311443906575;3,764841107901285
44;8,046055754443964;3,7588721549668547
45;8,040851628535092;3,7529840786648583
46;8,036454252147642;3,7471651467125473
47;8,0326764694161;3,7414213376180303
48;8,029375093286738;3,7357484763703086
49;8,026440494266476;3,730142045471568
50;8,023788676829131;3,724603596168195
51;8,021355243828019;3,7191312795959894
52;8,019090794703072;3,7137229231672357
53;8,01695741335446;3,708373979094232
54;8,014925985038976;3,7030802882000806
55;8,012974144592654;3,697849281895733
56;8,011084706049957;3,692678379917542
57;8,00924445966868;3,6875624312879327
58;8,007443249710812;3,682505586002887
59;8,005673266974776;3,6775055328112707
60;8,003928505713562;3,6725574212126375
61;8,002204346568377;3,667664101613024
62;8,00049723607995;3,662825166040201
63;7,998804440358682;3,6580429894088273
64;7,997123855694225;3,653305962879501
65;7,995453862883507;3,6486247967649517
66;7,9937932151979165;3,6439966064902816
67;7,9921409521919085;3,6394242696400734
68;7,990496333406238;3,6348996463352234
69;7,988858787355945;3,63042639785496
70;7,987227872298098;3,6260077524997056
71;7,985603246063486;3,621639526830205
72;7,98398464284732;3,6173182265148984
73;7,982371855377583;3,613047461975743
74;7,980764721212174;3,6088288540374034
75;7,9791631122043825;3,6046604729689005
76;7,9775669264197;3,600540072384228
77;7,975976081938674;3,596468225667731
78;7,974390512092898;3,592444596578175
79;7,9728101618247775;3,588468995192181
80;7,9712349848965705;3,584541397629064
81;7,96966494175226;3,580663608352543
82;7,968099997890256;3,5768312999011806
83;7,966540122620247;3,5730474201747917
84;7,964985288111148;3,569310492473528
85;7,96343546867654;3,5656186198050785
86;7,961890640218212;3,5619722295799714
87;7,960350779820467;3,558373233243633
88;7,958815865435186;3,5548201518987197
89;7,957285875645864;3,551313192583782
90;7,955760789491573;3,5478489008559073
91;7,954240586335299;3,5444286516911987
92;7,952725245767789;3,541053231261899
93;7,951214747534199;3,537721544307638
94;7,949709071483181;3,5344316714340476
95;7,9482081975287135;3,5311871089993874
96;7,946712105625449;3,527987288148593
97;7,945220775744637;3,5248271284871913
98;7,943734187868039;3,521710200037549
99;7,942252321976019;3,518634619084627
100;7,940775158046213;3,5156002521800795
101;7,9393026760521;3,5126077933912447
102;7,937834855951638;3,5096558553206885
103;7,936371677701491;3,506743032741208
104;7,934913121251378;3,5038723099654083
105;7,933459166548016;3,5010411949091003
106;7,932009793536808;3,49824752590529
107;7,930564982166504;3,4954922357074025
108;7,929124712386337;3,492776354614189
109;7,927688964152476;3,4900987179177996
110;7,926257717429632;3,48746008073243
111;7,924830952197459;3,484857889506592
112;7,923408648443973;3,48229328315527
113;7,921990786176374;3,4797643771857816
114;7,92057734542068;3,47727320974865
115;7,919168306222815;3,474817276591775
116;7,9177636486503085;3,472396414648726
117;7,91636335279406;3,4700107494265966
118;7,9149673987712506;3,4676597911925526
119;7,913575766727616;3,46534369937204
120;7,912188436836931;3,463061392916773
121;7,910805389303751;3,4608124012239667
122;7,9094266043656045;3,4585968651421686
123;7,908052062292008;3,4564135443743105
124;7,906681743387071;3,4542633346420173
125;7,905315627995871;3,4521457995334535
126;7,903953696493488;3,4500595811958887
127;7,902595929298323;3,4480048758191737
128;7,901242306864484;3,445981730263202
129;7,8998928096899155;3,4439892833339094
130;7,898547418313548;3,442026705111696
131;7,89720611331389;3,4400943005478135
132;7,895868875317502;3,4381912307824045
133;7,894535684993399;3,436317257512841
134;7,8932065230517585;3,4344718213867242
135;7,891881370258489;3,4326554596958103
136;7,890560207417269;3,430867052301047
137;7,889243015383438;3,4291065239832346
138;7,887929775060177;3,427373624408218
