;x D4;x CLV AD NGD;x CLV D4 AGD;y D4;y CLV AD NGD;y CLV D4 AGD
0,0;1,5;1,5;1,5;5,0;5,0;5,0
0,01;;1,5114133587178193;1,5275944490053988;;4,910264504375144;4,961821467131154
0,02;;1,522838003608009;1,5554720678106895;;4,823679069742707;4,924144964956421
0,03;;1,5342754272468389;1,5836327065694351;;4,740079257850078;4,886956364240452
0,04;;1,5457270549371933;1,6120761584333043;;4,6593118987641375;4,850242011948968
0,05;;1,5571942492674324;1,640802158609863;;4,581234140313034;4,813988712399229
0,06;;1,5686783142914427;1,6698103834335296;;4,505712592281696;4,778183709338439
0,06999999999999999;;1,5801804993670379;1,6991004494506174;;4,432622554509606;4,742814668897311
0,08;;1,5917020026856723;1,728671912519392;;4,361847319438131;4,707869663369368
0,09;;1,6032439745227791;1,7585242669260917;;4,293277540853631;4,673337155769722
0,1;;1,6148075202348349;1,7886569445178717;;4,226810661602987;4,639205985129916
0,11;;1,6263937030264537;1,8190693138536265;;4,162350393946003;4,605465352488189
0,12;;1,6380035465083393;1,8497606793736738;;4,099806246975919;4,57210480753698
0,13;;1,6496380370647572;1,8807302805892794;;4,039093096203176;4,539114235891854
0,13999999999999999;;1,6612981260472663;1,9119772912930086;;3,980130790973625;4,506483846948196
0,15;;1,672984731809763;1,9435008187909022;;3,9228437958933937;4,474204162294053
0,16;;1,684698741598375;1,9752999031574696;;3,867160862869274;4,442266004649409
0,16999999999999998;;1,69644101330843;2,007373516514505;;3,8130147307548548;4,410660487303909
0,18;;1,7082123771195192;2,0397205623347237;;3,760341849926375;4,379379004026729
0,19;;1,720013637018636;2,0723398747712243;;3,709082129404928;4,34841321942381
0,2;;1,731845572220421;2,1052302180137756;;3,659178704398754;4,3177550597191
0,21;;1,7437089384927076;2,1383902856729273;;3,6105777223656563;4,28739670393783
0,22;;1,755604469394809;2,1718187001929405;;3,5632281458951227;4,257330575471053
0,22999999999999998;;1,767532877435311;2,2055140122945236;;3,51708157088598;4,227549334001891
0,24;;1,7794948551555363;2,2394747004483593;;3,4720920586513655;4,19804586777503
0,25;2,15;1,791491076144288;2,273699170380395;4,166666667;3,428215980721019;4,168813286192007
0,26;;1,8035221959890118;2,3081857546098585;;3,3854118752335696;4,139844912715842
0,27;;1,815588853168051;2,342932712020955;;3,343640313920611;4,111134278069433
0,27999999999999997;;1,8276916698882877;2,377938227469178;;3,302863778781456;4,082675113713028
0,29;;1,8398312528720935;2,413200411423166;;3,2630465476341133;4,054461345586832
0,3;;1,8520081940971929;2,448717299643008;;3,22415458780537;4,0264870881056
0,31;;1,8642230714927404;2,484486852895882;;3,186155457292066;3,9987466383927806
0,32;;1,8764764495946524;2,5205069567099136;;3,149018212787579;3,9712344707423672
0,33;;1,8887688801629852;2,5567754211670826;;3,1127133240231424;3,943945231297337
0,33999999999999997;;1,9011009027639296;2,5932899807360155;;3,0772125939234716;3,9168737329340604
0,35000000000000003;;1,913473045318798;2,630048294145468;;3,0424890841210623;3,8900149503426653
0,36;;1,9258858246221815;2,667047944299253;;3,0085170454139005;3,86336401529385
0,37;;1,9383397468313084;2,704286438233388;;2,97527185278771;3,8369162120831124
0,38;;1,9508353079284582;2,7417612071161552;;2,9427299446567328;3,810666973143855
0,38999999999999996;;1,9633729941581655;2,779469606291773;;2,9108687660066903;3,7846118748212416
0,4;;1,9759532824408097;2,8174089153683286;;2,8796667151504334;3,7587466332990958
0,41000000000000003;;1,9885766407640668;2,8555763383505846;;2,849103093831081;3,7330671006725433
0,42;;2,0012435285536054;2,8939690038182526;;2,81915806042948;3,70756926115943
0,43;;2,013954397024293;2,93258396515027;;2,789812586052815;3,682249227443932
0,44;;2,0267096895131016;2,971418200795586;;2,761048413299365;3,657103237146086
0,44999999999999996;;2,03950984179481;3,0104686145909234;;2,732848017510895;3,632127649411286
0,45999999999999996;;2,0523552823815274;3,049732036125944;;2,705194570339227;3,6073189416140767
0,47000000000000003;;2,065246432806994;3,089205221156188;;2,678071905467222;3,5826737061708784
0,48;;2,078183707896539;3,12888485206412;;2,6514644863368853;3,5581886474565207
0,49;;2,0911675160235337;3,168767538368591;;2,625357375748726;3,533860578819714
