;x D3;x CLV D3 NGD;x CLV D3 AGD;y D3;y CLV D3 NGD;y CLV D3 AGD
0,0;0,75;0,75;0,75;5,0;5,0;5,0
0,01;;0,7534238671412207;0,7637781655415598;;4,944222696430337;4,962024162576117
0,02;;0,75686068128595;0,7777013177666249;;4,889720160047339;4,924321784804078
0,03;;0,7603105283329905;0,7917689363840293;;4,836447352927727;4,886890811188602
0,04;;0,7637734932597081;0,8059804653466908;;4,784361323968336;4,849729204914819
0,05;;0,767249660174486;0,8203353129849873;;4,733421089259864;4,812834947681921
0,06;;0,7707391123661592;0,834832852156295;;4,683587520604878;4,776206039537258
0,06999999999999999;;0,774241932350636;0,8494724204105397;;4,634823241539964;4,739840498710908
0,08;;0,7777582019148958;0,8642533201716088;;4,587092530278821;4,703736361450703
0,09;;0,7812880021585394;0,8791748189344554;;4,540361229044341;4,6678916818577445
0,1;;0,7848314135330542;0,8942361494777247;;4,494596659303983;4,632304531722373
0,11;;0,7883885158789413;0,9094365100917153;;4,4497675424645315;4,5969730003606495
0,12;;0,7919593884608468;0,9247750648214853;;4,405843925620058;4,56189519445131
0,13;;0,795544110000821;0,9402509437248999;;4,362797111981152;4,527069237873233
0,13999999999999999;;0,7991427587098275;0,9558632431454132;;4,3205995956444285;4,492493271543414
0,15;;0,802755412317609;0,9716110259993639;;4,27922500038945;4,458165453255455
0,16;;0,8063821481010145;0,9874933220775592;;4,238648022215715;4,424083957518585
0,16999999999999998;;0,81002304291088;1,0035091283609145;;4,198844375355603;4,390246975397223
0,18;;0,8136781731975524;1,0196574093499036;;4,1597907415202275;4,356652714351079
0,19;;0,8173476150351371;1,0359370974075741;;4,121464722154461;4,323299398075822
0,2;;0,8210314441445453;1,0523470931158692;;4,083844793494852;4,290185266344314
0,21;;0,8247297359154134;1,068886265644993;;4,04691026424024;4,25730857484843
0,22;;0,8284425654269585;1,0855534531355506;;4,010641235659431;4,2246675950414705
0,22999999999999998;;0,8321700074678317;1,1023474630931858;;3,975018563973716;4,192260613981171
0,24;;0,8359121365550284;1,1192670727954326;;3,940023824864211;4,160085934173342
0,25;0,75;0,8396690269519069;1,1363110297104955;5,833333333;3,905639279965229;4,128141873416131
0,26;;0,8434407526853667;1,1534780519276613;;3,871847845215149;4,096426764644933
0,27;;0,8472273875622328;1,170766828599044;;3,8386330609456856;4,064938955777959
0,27999999999999997;;0,8510290051848902;1,1881760203923597;;3,8059790635991053;4,033676809562461
0,29;;0,8548456789662093;1,2057042599544194;;3,7738705589708914;4,002638703421665
0,3;;0,8586774821437999;1,223350152385029;;3,7422927968826736;3,9718230293023766
0,31;;0,8625244877936317;1,2411122757209736;;3,7112315471969772;3,9412281935233158
0,32;;0,8663867688430522;1,2589891814297693;;3,6806730770915252;3,9108526166241675
0,33;;0,8702643980832374;1,2769793949128523;;3,6506041295165716;3,8806947332153765
0,33999999999999997;;0,8741574481811003;1,295081416017876;;3,62101190276399;3,850752991828694
0,35000000000000003;;0,8780659916906902;1,3132937195597867;;3,5918840310817273;3,8210258547684894
0,36;;0,8819901010641047;1,3316147558503342;;3,5632085662717157;3,791511797963854
0,37;;0,8859298486619415;1,3500429512356908;;3,534973960213501;3,762209310821487
0,38;;0,8898853067633131;1,368576708641825;;3,5071690482596853;3,7331168960794066
0,38999999999999996;;0,8938565475754454;1,3872144081272946;;3,47978303345284;3,7042330696614756
0,4;;0,8978436432428805;1,405954407443113;;3,452805471516849;3,6755563605327737
0,41000000000000003;;0,9018466658563046;1,4247950425993368;;3,4262262565786923;3,64708531055582
0,42;;0,9058656874610184;1,4437346284380372;;3,4000356075795084;3,6188184743476635
0,43;;0,9099007800650665;1,4627714592122938;;3,374224055336418;3,5907544191378595
0,44;;0,9139520156470435;1,4819038091708696;;3,348782430219023;3,5628917246273377
